Date,DoY,Year,Crop,Site,Treatment,Rep,Sample,Site.Rep,Percent_H2O,AGB_g_m2,Grain_yield_g_m2,Grain_yield_kg_ha,Stover_g_m2,Harvest_index
10/1/2020,275,2020,Corn,H510,BAU,10,2,BAU.10,41.4,1200,512,5116.517177,689,42.6
10/1/2020,275,2020,Corn,H510,BAU,10,3,BAU.10,32.6,1514,722,7219.785273,793,47.7
10/1/2020,275,2020,Corn,H510,BAU,10,4,BAU.10,29.1,1308,652,6522.499156,656,49.8
10/2/2020,276,2020,Corn,I201,ASP,1,1,ASP.1,66.1,607,357,3574.048815,249,58.9
10/2/2020,276,2020,Corn,I201,ASP,1,2,ASP.1,48.9,1124,422,4220.529274,702,37.6
10/2/2020,276,2020,Corn,I201,ASP,1,3,ASP.1,59.9,812,400,3999.869111,412,49.3
10/2/2020,276,2020,Corn,I201,ASP,1,4,ASP.1,64.1,529,416,4155.515255,113,78.6
10/2/2020,276,2020,Corn,I202,ASP,2,1,ASP.2,25.4,1265,348,3479.972238,917,27.5
10/2/2020,276,2020,Corn,I202,ASP,2,2,ASP.2,36.6,1047,411,4110.737388,636,39.2
10/2/2020,276,2020,Corn,I202,ASP,2,3,ASP.2,40.3,931,382,3821.618754,548,41.1
10/2/2020,276,2020,Corn,I202,ASP,2,4,ASP.2,36.2,1075,448,4483.599245,627,41.7
10/2/2020,276,2020,Corn,I203,ASP,3,1,ASP.3,37.5,946,247,2467.734102,699,26.1
10/2/2020,276,2020,Corn,I203,ASP,3,2,ASP.3,50.3,932,383,3827.215988,549,41.1
10/2/2020,276,2020,Corn,I203,ASP,3,3,ASP.3,61.3,573,277,2770.630541,296,48.3
10/2/2020,276,2020,Corn,I203,ASP,3,4,ASP.3,33.6,1141,421,4209.765364,720,36.9
10/2/2020,276,2020,Corn,I204,ASP,4,1,ASP.4,43,1421,614,6137.796998,807,43.2
10/2/2020,276,2020,Corn,I204,ASP,4,2,ASP.4,48.3,1289,498,4976.371064,791,38.6
10/2/2020,276,2020,Corn,I204,ASP,4,3,ASP.4,52.6,1142,612,6124.665027,530,53.6
10/2/2020,276,2020,Corn,I204,ASP,4,4,ASP.4,67.7,805,547,5467.635935,259,67.9
10/2/2020,276,2020,Corn,I205,ASP,5,1,ASP.5,64.9,699,367,3665.542053,333,52.4
10/2/2020,276,2020,Corn,I205,ASP,5,2,ASP.5,64.2,802,424,4244.640434,378,52.9
10/2/2020,276,2020,Corn,I205,ASP,5,3,ASP.5,68.4,715,496,4961.732146,219,69.4
10/2/2020,276,2020,Corn,I205,ASP,5,4,ASP.5,33.4,1040,248,2476.34523,792,23.8
10/2/2020,276,2020,Corn,I206,ASP,6,1,ASP.6,14.9,1455,325,3253.069006,1129,22.4
10/2/2020,276,2020,Corn,I206,ASP,6,2,ASP.6,38.8,1153,375,3747.993607,778,32.5
10/2/2020,276,2020,Corn,I206,ASP,6,3,ASP.6,2.2,1490,328,3276.964887,1162,22
10/2/2020,276,2020,Corn,I206,ASP,6,4,ASP.6,49.1,818,367,3671.139287,451,44.9
10/2/2020,276,2020,Corn,I207,ASP,7,1,ASP.7,42.8,1188,375,3754.88251,812,31.6
10/2/2020,276,2020,Corn,I207,ASP,7,2,ASP.7,51.5,891,204,2044.712423,686,23
10/2/2020,276,2020,Corn,I207,ASP,7,3,ASP.7,46.3,839,303,3030.256061,536,36.1
10/2/2020,276,2020,Corn,I207,ASP,7,4,ASP.7,48,867,274,2740.276314,593,31.6
10/2/2020,276,2020,Corn,I208,ASP,8,1,ASP.8,49.8,908,249,2487.539697,659,27.4
10/2/2020,276,2020,Corn,I208,ASP,8,2,ASP.8,48.4,1123,340,3402.256805,783,30.3
10/2/2020,276,2020,Corn,I208,ASP,8,3,ASP.8,51.4,820,145,1452.912628,674,17.7
10/2/2020,276,2020,Corn,I208,ASP,8,4,ASP.8,48.5,849,271,2709.706808,579,31.9
10/2/2020,276,2020,Corn,I209,ASP,9,1,ASP.9,46.1,1015,314,3139.402112,701,30.9
10/2/2020,276,2020,Corn,I209,ASP,9,2,ASP.9,43.4,1047,369,3687.715709,678,35.2
10/2/2020,276,2020,Corn,I209,ASP,9,3,ASP.9,53.8,592,121,1212.016313,470,20.5
10/2/2020,276,2020,Corn,I209,ASP,9,4,ASP.9,44,774,270,2697.43595,504,34.9
10/2/2020,276,2020,Corn,I210,ASP,10,1,ASP.10,46.3,930,321,3211.950868,609,34.5
10/2/2020,276,2020,Corn,I210,ASP,10,2,ASP.10,41.8,943,340,3397.520684,603,36
10/2/2020,276,2020,Corn,I210,ASP,10,3,ASP.10,45.9,821,306,3061.471401,515,37.3
10/2/2020,276,2020,Corn,I210,ASP,10,4,ASP.10,40.4,1118,450,4504.481231,668,40.3
10/6/2021,279,2021,Soybean,H501,BAU,1,1,BAU.1,7.4,216,104,1041.515972,112,48.2
10/6/2021,279,2021,Soybean,H501,BAU,1,2,BAU.1,6.1,264,124,1241.294149,140,47
10/6/2021,279,2021,Soybean,H501,BAU,1,3,BAU.1,6.6,227,115,1146.787016,112,50.5
10/6/2021,279,2021,Soybean,H501,BAU,1,4,BAU.1,7.2,174,87,868.001736,87,50
10/6/2021,279,2021,Soybean,H502,BAU,2,1,BAU.2,10.8,165,66,664.1332727,98,40.3
10/6/2021,279,2021,Soybean,H502,BAU,2,2,BAU.2,9.9,220,103,1027.738167,117,46.8
10/6/2021,279,2021,Soybean,H502,BAU,2,3,BAU.2,9.5,201,85,848.1961408,116,42.2
10/6/2021,279,2021,Soybean,H502,BAU,2,4,BAU.2,7.8,236,117,1169.821784,119,49.7
10/6/2021,279,2021,Soybean,H503,BAU,3,1,BAU.3,8.6,186,84,844.7516895,101,45.5
10/6/2021,279,2021,Soybean,H503,BAU,3,2,BAU.3,6.5,241,118,1181.231529,123,49.1
10/6/2021,279,2021,Soybean,H503,BAU,3,3,BAU.3,6.9,218,100,1003.842285,117,46.1
10/6/2021,279,2021,Soybean,H503,BAU,3,4,BAU.3,8.8,202,89,892.5434518,112,44.2
10/6/2021,279,2021,Soybean,H504,BAU,4,1,BAU.4,7,259,127,1271.21782,132,49.1
10/6/2021,279,2021,Soybean,H504,BAU,4,2,BAU.4,6.8,213,106,1061.321567,107,49.9
10/6/2021,279,2021,Soybean,H504,BAU,4,3,BAU.4,6.8,265,135,1352.162427,129,51.1
10/6/2021,279,2021,Soybean,H504,BAU,4,4,BAU.4,6.9,235,60,600.1956448,175,25.6
10/6/2021,279,2021,Soybean,H505,BAU,5,1,BAU.5,7.2,222,107,1065.627131,116,48
10/6/2021,279,2021,Soybean,H505,BAU,5,2,BAU.5,7.8,184,85,846.4739152,99,46.1
10/6/2021,279,2021,Soybean,H505,BAU,5,3,BAU.5,8.7,223,109,1089.953569,114,48.9
10/6/2021,279,2021,Soybean,H505,BAU,5,4,BAU.5,8.6,201,90,897.2795723,111,44.7
10/6/2021,279,2021,Soybean,H506,BAU,6,1,BAU.6,6,256,130,1295.759536,126,50.7
10/6/2021,279,2021,Soybean,H506,BAU,6,2,BAU.6,6.2,218,105,1045.175701,114,47.9
10/6/2021,279,2021,Soybean,H506,BAU,6,3,BAU.6,6.1,260,130,1296.835927,130,49.9
10/6/2021,279,2021,Soybean,H506,BAU,6,4,BAU.6,6.3,220,125,1250.76639,95,57
10/6/2021,279,2021,Soybean,H507,BAU,7,1,BAU.7,13.3,214,95,950.2380116,119,44.4
10/6/2021,279,2021,Soybean,H507,BAU,7,2,BAU.7,9.1,290,144,1444.516778,146,49.8
10/6/2021,279,2021,Soybean,H507,BAU,7,3,BAU.7,9,193,89,888.2378876,104,46
10/6/2021,279,2021,Soybean,H507,BAU,7,4,BAU.7,10.3,252,118,1179.724582,134,46.8
10/6/2021,279,2021,Soybean,H508,BAU,8,1,BAU.8,6.9,304,154,1537.516964,150,50.6
10/6/2021,279,2021,Soybean,H508,BAU,8,2,BAU.8,7.6,240,123,1226.224675,117,51.2
10/6/2021,279,2021,Soybean,H508,BAU,8,3,BAU.8,9,286,144,1441.287605,142,50.4
10/6/2021,279,2021,Soybean,H508,BAU,8,4,BAU.8,13.1,238,89,893.1892864,149,37.5
10/6/2021,279,2021,Soybean,H509,BAU,9,1,BAU.9,7,220,109,1087.154952,111,49.5
10/6/2021,279,2021,Soybean,H509,BAU,9,2,BAU.9,6.6,214,99,994.8006007,115,46.4
10/6/2021,279,2021,Soybean,H509,BAU,9,3,BAU.9,6.7,268,130,1301.356769,138,48.5
10/6/2021,279,2021,Soybean,H509,BAU,9,4,BAU.9,7.2,260,121,1205.342688,140,46.3
10/6/2021,279,2021,Soybean,H510,BAU,10,1,BAU.10,7.1,205,99,993.7242097,105,48.5
10/6/2021,279,2021,Soybean,H510,BAU,10,2,BAU.10,6.9,232,113,1125.90503,119,48.6
10/6/2021,279,2021,Soybean,H510,BAU,10,3,BAU.10,7.4,243,126,1255.717789,118,51.6
10/6/2021,279,2021,Soybean,H510,BAU,10,4,BAU.10,7.3,158,78,777.1543321,80,49.2
10/7/2021,280,2021,Soybean,I201,ASP,1,1,ASP.1,14.5,201,93,933.8768678,108,46.4
10/7/2021,280,2021,Soybean,I201,ASP,1,2,ASP.1,10.2,250,129,1293.822032,120,51.9
10/7/2021,280,2021,Soybean,I201,ASP,1,3,ASP.1,13,159,76,761.2237447,83,48
10/7/2021,280,2021,Soybean,I201,ASP,1,4,ASP.1,8.4,165,87,870.5850745,78,52.7
10/7/2021,280,2021,Soybean,I202,ASP,2,1,ASP.2,6.4,235,127,1271.21782,108,54.2
10/7/2021,280,2021,Soybean,I202,ASP,2,2,ASP.2,6.2,276,146,1455.495967,131,52.7
10/7/2021,280,2021,Soybean,I202,ASP,2,3,ASP.2,7.5,222,124,1238.280254,98,55.8
10/7/2021,280,2021,Soybean,I202,ASP,2,4,ASP.2,6.5,237,132,1317.287357,106,55.5
10/7/2021,280,2021,Soybean,I203,ASP,3,1,ASP.3,10.1,222,113,1128.27309,110,50.7
10/7/2021,280,2021,Soybean,I203,ASP,3,2,ASP.3,6.5,198,106,1056.585447,92,53.5
10/7/2021,280,2021,Soybean,I203,ASP,3,3,ASP.3,5.8,294,157,1574.975372,136,53.6
10/7/2021,280,2021,Soybean,I203,ASP,3,4,ASP.3,6,200,106,1061.967402,94,53
10/7/2021,280,2021,Soybean,I204,ASP,4,1,ASP.4,6.1,352,183,1834.385613,169,52.1
10/7/2021,280,2021,Soybean,I204,ASP,4,2,ASP.4,6,275,143,1433.537589,132,52.1
10/7/2021,280,2021,Soybean,I204,ASP,4,3,ASP.4,6.7,321,160,1597.794862,161,49.8
10/7/2021,280,2021,Soybean,I204,ASP,4,4,ASP.4,6.6,300,165,1650.753302,135,55
10/7/2021,280,2021,Soybean,I205,ASP,5,1,ASP.5,6,251,124,1244.738601,127,49.5
10/7/2021,280,2021,Soybean,I205,ASP,5,2,ASP.5,7.5,330,153,1531.273896,177,46.4
10/7/2021,280,2021,Soybean,I205,ASP,5,3,ASP.5,6.2,267,135,1353.023539,131,50.7
10/7/2021,280,2021,Soybean,I205,ASP,5,4,ASP.5,5.7,259,132,1320.731808,127,51
10/7/2021,280,2021,Soybean,I206,ASP,6,1,ASP.6,6,345,184,1838.045343,161,53.3
10/7/2021,280,2021,Soybean,I206,ASP,6,2,ASP.6,5.8,284,148,1475.947396,137,51.9
10/7/2021,280,2021,Soybean,I206,ASP,6,3,ASP.6,5.8,292,162,1619.322683,130,55.4
10/7/2021,280,2021,Soybean,I206,ASP,6,4,ASP.6,6.2,266,152,1517.496091,115,57
10/7/2021,280,2021,Soybean,I207,ASP,7,1,ASP.7,5.9,382,172,1720.933997,210,45
10/7/2021,280,2021,Soybean,I207,ASP,7,2,ASP.7,6.4,293,141,1411.579212,152,48.2
10/7/2021,280,2021,Soybean,I207,ASP,7,3,ASP.7,6.1,290,145,1448.822342,146,49.9
10/7/2021,280,2021,Soybean,I207,ASP,7,4,ASP.7,6,350,180,1802.30916,170,51.5
10/7/2021,280,2021,Soybean,I208,ASP,8,1,ASP.8,6.4,306,164,1639.128278,142,53.5
10/7/2021,280,2021,Soybean,I208,ASP,8,2,ASP.8,6.5,184,102,1018.696482,83,55.2
10/7/2021,280,2021,Soybean,I208,ASP,8,3,ASP.8,6.5,305,166,1664.315829,139,54.6
10/7/2021,280,2021,Soybean,I208,ASP,8,4,ASP.8,5.8,273,146,1455.926523,127,53.4
10/7/2021,280,2021,Soybean,I209,ASP,9,1,ASP.9,6.7,307,159,1590.260125,148,51.8
10/7/2021,280,2021,Soybean,I209,ASP,9,2,ASP.9,9.2,319,165,1649.67691,154,51.7
10/7/2021,280,2021,Soybean,I209,ASP,9,3,ASP.9,7.5,274,153,1530.843339,121,55.9
10/7/2021,280,2021,Soybean,I209,ASP,9,4,ASP.9,6.9,317,180,1802.093882,136,56.9
10/7/2021,280,2021,Soybean,I210,ASP,10,1,ASP.10,6.2,291,148,1483.266855,143,50.9
10/7/2021,280,2021,Soybean,I210,ASP,10,2,ASP.10,5.8,270,144,1440.426492,126,53.3
10/7/2021,280,2021,Soybean,I210,ASP,10,3,ASP.10,5.7,266,143,1430.523694,123,53.8
10/7/2021,280,2021,Soybean,I210,ASP,10,4,ASP.10,5.8,292,160,1602.100426,132,54.9
8/23/2022,235,2022,SpringWheat,H501,BAU,1,1,BAU.1,14.2,860,349,3486.264217,512,40.5
8/23/2022,235,2022,SpringWheat,H501,BAU,1,2,BAU.1,15.9,828,335,3350.48119,493,40.4
8/23/2022,235,2022,SpringWheat,H501,BAU,1,3,BAU.1,13.2,834,355,3550.306212,479,42.6
8/23/2022,235,2022,SpringWheat,H501,BAU,1,4,BAU.1,11.1,772,316,3159.055118,456,40.9
8/23/2022,235,2022,SpringWheat,H502,BAU,2,1,BAU.2,23.0,793,358,3576.902887,436,45.1
8/23/2022,235,2022,SpringWheat,H502,BAU,2,2,BAU.2,20.0,877,333,3327.384077,544,38.0
8/23/2022,235,2022,SpringWheat,H502,BAU,2,3,BAU.2,22.8,935,389,3886.964129,547,41.6
8/23/2022,235,2022,SpringWheat,H502,BAU,2,4,BAU.2,24.3,793,334,3344.181977,459,42.2
8/23/2022,235,2022,SpringWheat,H503,BAU,3,1,BAU.3,26.8,813,320,3202.099738,493,39.4
8/23/2022,235,2022,SpringWheat,H503,BAU,3,2,BAU.3,20.1,774,304,3035.870516,471,39.2
8/23/2022,235,2022,SpringWheat,H503,BAU,3,3,BAU.3,23.6,752,323,3229.746282,429,42.9
8/23/2022,235,2022,SpringWheat,H503,BAU,3,4,BAU.3,22.5,918,385,3853.718285,532,42.0
8/23/2022,235,2022,SpringWheat,H504,BAU,4,1,BAU.4,20.1,797,322,3221.347332,474,40.4
8/23/2022,235,2022,SpringWheat,H504,BAU,4,2,BAU.4,21.3,794,308,3077.865267,487,38.7
8/23/2022,235,2022,SpringWheat,H504,BAU,4,3,BAU.4,16.3,634,264,2642.169729,370,41.7
8/23/2022,235,2022,SpringWheat,H504,BAU,4,4,BAU.4,20.9,687,287,2866.841645,400,41.8
8/23/2022,235,2022,SpringWheat,H505,BAU,5,1,BAU.5,24.6,828,331,3306.736658,497,40.0
8/23/2022,235,2022,SpringWheat,H505,BAU,5,2,BAU.5,21.6,897,360,3604.549431,537,40.2
8/23/2022,235,2022,SpringWheat,H505,BAU,5,3,BAU.5,19.3,840,351,3513.560805,489,41.8
