Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,G1,G,2021,726,59,9.57862,0.975476,9.57862, 'A': 12.494376063219645, 'B': 6.331467983428406, 'C': -15.23271857347816
Mandan,BAU,G1,G,2021,831,96,2.65592,0.169761,NA, 'A': 2.281345235020831, 'B': -0.29672213337892633,
Mandan,BAU,G1,G,2021,929,125,2.57858,0.77219,NA, 'A': 5.470700288286994, 'B': -3.194401727320912, 'C': 2.392502197186086
Mandan,BAU,G2,G,2021,726,59,8.01444,0.991074,8.01444, 'A': 19.03320440595412, 'B': -2.0583725986366384, 'C': -0.0353204460607667
Mandan,BAU,G2,G,2021,831,96,18.7652,0.998352,18.7652, 'A': 457.7223398956552, 'B': -28.689334195220912, 'C': 25.970642644124307
Mandan,BAU,G2,G,2021,929,125,2.59313,0.940166,NA, 'A': 8.237976714441016, 'B': -5.770135420298506, 'C': 4.833912333662961
Mandan,BAU,G3,G,2021,726,59,12.746,0.999958,12.746, 'A': 83.31733713116562, 'B': -8.555097719187254, 'C': 5.428128467623832
Mandan,BAU,G3,G,2021,831,96,1.86506,0.957714,NA, 'A': 0.435750113259628, 'B': 4.9530363595195155, 'C': -3.3957168763756305
Mandan,BAU,G3,G,2021,929,125,1.90761,0.989791,1.90761, 'A': 0.863416347089125, 'B': 3.4312246949256053, 'C': -2.866618791781616
Mandan,BAU,H1,H,2021,726,59,14.2955,0.999394,14.2955, 'A': 142.00527928635785, 'B': -12.625478264036685, 'C': 9.304712969093957
Mandan,BAU,H1,H,2021,831,96,1.64649,0.709974,NA, 'A': 2.104003189574192, 'B': -3.085810472898456, 'C': 3.710864650822207
Mandan,BAU,H1,H,2021,929,125,2.80527,0.872715,NA, 'A': 8.051580285541187, 'B': -5.1724472217407245, 'C': 4.311085281755383
Mandan,BAU,H2,H,2021,726,59,7.21246,0.872328,NA, 'A': 4.827071504153468, 'B': -1.784139106613503, 'C': 3.3914183096351307
Mandan,BAU,H2,H,2021,831,96,2.00141,0.521959,NA, 'A': 2.5871209218536064, 'B': -1.0186156460224383, 'C': 0.7432366526525056
Mandan,BAU,H2,H,2021,929,125,2.65764,0.980603,2.65764, 'A': 7.772327205534403, 'B': -5.22307592404043, 'C': 4.3176794237233524
Mandan,BAU,H3,H,2021,726,59,6.86616,0.988378,6.86616, 'A': 66.25531652193462, 'B': -14.004057447402474, 'C': 12.038254190450795
Mandan,BAU,H3,H,2021,831,96,1.49693,0.915079,NA, 'A': 1.1995043744920135, 'B': -0.6819636512857146, 'C': 1.560612264273918
Mandan,BAU,H3,H,2021,929,125,2.31862,0.979607,2.31862, 'A': 2.127087333657141, 'B': 0.10226253484653658, 'C': 0.10002828145559932
Mandan,BAU,I1,I,2021,726,59,43.141,0.999992,43.141, 'A': 500.98894856852206, 'B': -13.35143809711935, 'C': 8.132887303604878
Mandan,BAU,I1,I,2021,831,96,2.16784,0.998725,2.16784, 'A': 10.560973622466562, 'B': -11.36108789557861, 'C': 11.141689935551367
Mandan,BAU,I1,I,2021,929,125,5.72696,0.981676,5.72696, 'A': 63.34670336797117, 'B': -15.99828861405862, 'C': 14.178277959961113
Mandan,BAU,I2,I,2021,726,59,5.08119,0.993665,5.08119, 'A': 21.389414605095133, 'B': -6.0446620855545365, 'C': 3.9496987961464325
Mandan,BAU,I2,I,2021,831,96,1.57015,0.528496,NA, 'A': 1.1408237859075443, 'B': 0.4591939362889909, 'C': 0.21217785828397118
Mandan,BAU,I2,I,2021,929,125,1.93492,0.311551,NA, 'A': 2.6926057001806187, 'B': -1.8321987952530436, 'C': 1.7299116367882204
Mandan,BAU,I3,I,2021,726,59,3.14434,0.919303,NA, 'A': 6.951434307162278, 'B': -3.8654695965941652, 'C': 3.2705529002228895
Mandan,BAU,I3,I,2021,831,96,1.45421,0.895016,NA, 'A': 0.03324053160640513, 'B': 15.022507600345305, 'C': -12.552128989318119
Mandan,BAU,I3,I,2021,929,125,2.08337,0.997769,2.08337, 'A': 2.0218985968438448, 'B': -0.8931223292151526, 'C': 1.380832247383113
Mandan,BAU,A1,A,2022,624,30,12.382,0.998496,12.382, 'A': 44.5151168983131, 'B': -5.187384875657696, 'C': 3.334995693625409
Mandan,BAU,A1,A,2022,728,64,0.348301,0.854023,NA, 'A': 1.5764552453197334, 'B': -6.341831529793088, 'C': 4.033947461433452
Mandan,BAU,A1,A,2022,825,92,0.416641,0.950751,NA, 'A': 0.5847492750277955, 'B': -3.9835937177286183, 'C': 4.68286962110719
Mandan,BAU,A2,A,2022,624,30,11.2003,0.985845,11.2003, 'A': 57.35105456747045, 'B': -7.653827854979417, 'C': 5.599298037285768
Mandan,BAU,A2,A,2022,728,64,0.419466,0.170523,NA, 'A': 0.37524594613744505, 'B': -0.6159057620102957, 'C': 1.1998643626362786
Mandan,BAU,A2,A,2022,825,92,0.53917,0.916825,NA, 'A': 2.911814391105192, 'B': -9.884165692200288, 'C': 8.830225820355265
Mandan,BAU,A3,A,2022,624,30,8.99741,0.999997,8.99741, 'A': 34.09790142366712, 'B': -5.620154310439474, 'C': 3.800456401968162
Mandan,BAU,A3,A,2022,825,92,0.294541,0.983451,0.294541, 'A': 0.6723735035268755, 'B': 1.9618237527731839,
Mandan,BAU,B1,B,2022,624,30,10.0816,0.967631,NA, 'A': 44.34093313395018, 'B': -6.554341277081656, 'C': 4.589584763444799
Mandan,BAU,B1,B,2022,825,92,0.472155,0.000766593,NA, 'A': 0.45679927901133094, 'B': -0.06576633019955323,
Mandan,BAU,B2,B,2022,624,30,5.52835,0.999891,5.52835, 'A': 16.033394945156974, 'B': -3.2617847987823643, 'C': 1.072546156871778
Mandan,BAU,B3,B,2022,624,30,7.00886,0.985814,7.00886, 'A': 15.114886280284974, 'B': -3.543072313961189, 'C': 2.8697959360655436
Mandan,BAU,C1,C,2022,624,30,8.90174,0.985335,8.90174, 'A': 48.65372103512076, 'B': -9.022132392006043, 'C': 7.490929374821666
Mandan,BAU,C1,C,2022,825,92,0.472603,0.972263,0.472603, 'A': 6.050971231597599, 'B': -24.92595384517895, 'C': 24.601233305302234
Mandan,BAU,C2,C,2022,624,30,8.09418,0.898955,NA, 'A': 19.109333175220065, 'B': -4.621318261436235, 'C': 4.1684976943139365
Mandan,BAU,C2,C,2022,825,92,0.294082,0.971387,0.294082, 'A': 0.9138261436291809, 'B': 2.943726597147695,
Mandan,BAU,C3,C,2022,624,30,8.80162,0.999009,8.80162, 'A': 22.06375570360137, 'B': -2.8678552964623933, 'C': 1.1439414739952067
Mandan,BAU,C3,C,2022,825,92,0.302743,0.98133,0.302743, 'A': 0.046615239643581746, 'B': -3.028671449363648,
Mandan,BAU,D1,D,2022,624,30,10.6924,0.976551,10.6924, 'A': 24.10711817172549, 'B': -2.745626959991006, 'C': 1.4276908810793947
Mandan,BAU,D1,D,2022,825,92,0.284102,0.995894,0.284102, 'A': 0.1405031938929959, 'B': -1.2746105941079071,
Mandan,BAU,D2,D,2022,624,30,11.318,0.88213,NA, 'A': 17.172469891412316, 'B': -1.1730132728371898, 'C': 0.43796147570794147
Mandan,BAU,D2,D,2022,825,92,0.247494,0.659619,NA, 'A': 0.3063811720712284, 'B': 0.467432419626874, 'C': -1.4726982825955632
Mandan,BAU,D3,D,2022,624,30,11.2331,0.999985,11.2331, 'A': 35.47528701081608, 'B': -3.886593822917917, 'C': 1.7336314524284928
Mandan,BAU,D3,D,2022,728,64,0.938511,0.98529,0.938511, 'A': 1.885563374495247, 'B': 1.605828298960789,
Mandan,BAU,D3,D,2022,825,92,0.522217,0.955899,NA, 'A': 0.18860310726845167, 'B': -1.7795959739999472,
Mandan,BAU,E1,E,2022,624,30,7.31046,0.997248,7.31046, 'A': 5.159675850197471, 'B': 2.5595795395807173, 'C': -2.869218702174996
Mandan,BAU,E1,E,2022,728,64,0.939549,0.643642,NA, 'A': 2.7793771977847834, 'B': 2.773482043049558,
Mandan,BAU,E2,E,2022,624,30,6.28302,0.99524,6.28302, 'A': 4.777327726983989, 'B': 1.4764651826039068, 'C': -1.4094727326943122
Mandan,BAU,E2,E,2022,825,92,0.915623,0.999956,0.915623, 'A': 0.7832145859201157, 'B': -5.873216746318554, 'C': 7.926854425700102
Mandan,BAU,E3,E,2022,624,30,6.39808,0.970457,6.39808, 'A': 14.052824281140424, 'B': -3.40673323148204, 'C': 2.5946064786531324
Mandan,BAU,E3,E,2022,825,92,0.385659,0.517572,NA, 'A': 0.1285299417345964, 'B': -1.9040901035703826,
Mandan,BAU,F1,F,2022,624,30,9.7072,0.99831,9.7072, 'A': 44.32296788915589, 'B': -7.836387525793714, 'C': 6.4957558037977705
Mandan,BAU,F2,F,2022,624,30,8.64423,0.873898,NA, 'A': 26.647011143127486, 'B': -4.7024962019450545, 'C': 3.2767271560859306
Mandan,BAU,F2,F,2022,825,92,0.540456,0.0856909,NA, 'A': 0.4831658471739448, 'B': -0.22007372245518658,
Mandan,BAU,F3,F,2022,624,30,6.56658,0.732159,NA, 'A': 10.972307249776318, 'B': -2.782986642532936, 'C': 2.570531724713212
Mandan,BAU,F3,F,2022,825,92,0.414873,0.977513,0.414873, 'A': 1.3291372847029996, 'B': 3.052349072122236,
Mandan,BAU,G1,G,2022,624,30,16.2431,0.999915,16.2431, 'A': 57.435419476484306, 'B': -4.815444022665515, 'C': 2.770023771502402
Mandan,BAU,G1,G,2022,728,64,0.678921,0.865323,NA, 'A': 0.7433478317200068, 'B': -3.1149516645284114, 'C': 4.098032412126528
Mandan,BAU,G1,G,2022,825,92,0.507747,0.920944,NA, 'A': 0.2767571543297483, 'B': 2.095455857423351, 'C': -1.3942396497288552
Mandan,BAU,G2,G,2022,624,30,18.0658,0.990243,18.0658, 'A': 93.32924944910539, 'B': -7.610443087891607, 'C': 5.468300501154743
Mandan,BAU,G2,G,2022,728,64,0.330239,0.673484,NA, 'A': 0.9018488822437772, 'B': -3.433555819316893, 'C': 1.7068137785521473
Mandan,BAU,G2,G,2022,825,92,0.705178,0.767555,NA, 'A': 0.3540554260045426, 'B': -1.2495343306144575,
Mandan,BAU,G3,G,2022,624,30,11.523,0.896651,NA, 'A': 24.72023376662241, 'B': -2.659690876394383, 'C': 1.4965091373004498
Mandan,BAU,G3,G,2022,728,64,0.639663,0.403807,NA, 'A': 1.0380451771365884, 'B': -2.8960084481286024, 'C': 2.8216493936538023
Mandan,BAU,H1,H,2022,624,30,11.7174,0.990535,11.7174, 'A': 35.27974500031993, 'B': -3.997088922478047, 'C': 2.194442489010764
Mandan,BAU,H1,H,2022,728,64,0.930236,0.673206,NA, 'A': 0.7711116227428164, 'B': -0.17443208552010134, 'C': 0.7725241772527272
Mandan,BAU,H2,H,2022,624,30,10.5948,0.992829,10.5948, 'A': 28.389390888143616, 'B': -3.5003931374586883, 'C': 1.9151951498920439
Mandan,BAU,H2,H,2022,728,64,0.455092,0.993142,0.455092, 'A': 0.027923945334932254, 'B': 13.378514348595136, 'C': -12.768774244496493
Mandan,BAU,H2,H,2022,825,92,0.264536,0.376403,NA, 'A': 0.4728862520227954, 'B': 1.3008352478704948,
Mandan,BAU,H3,H,2022,624,30,9.10937,0.990418,9.10937, 'A': 17.808679166029957, 'B': -2.738441132275094, 'C': 1.9818810062595595
Mandan,BAU,H3,H,2022,728,64,0.704746,0.720003,NA, 'A': 0.25643676602477616, 'B': 5.7293751241779525, 'C': -5.815104351790178
Mandan,BAU,H3,H,2022,825,92,0.960274,0.908403,NA, 'A': 0.019520972749600626, 'B': 16.115068386721934, 'C': -13.946832576831806
Mandan,BAU,I1,I,2022,624,30,11.1985,0.983834,11.1985, 'A': 49.55707662571549, 'B': -5.870979191893781, 'C': 3.3011764630262204
Mandan,BAU,I1,I,2022,728,64,0.515201,0.240168,NA, 'A': 0.44565176777434024, 'B': 0.014897758605019393, 'C': 0.3903927501485855
Mandan,BAU,I1,I,2022,825,92,0.452971,0.751342,NA, 'A': 0.42250561109278795, 'B': 1.0601521451478937, 'C': -1.411596494760203
Mandan,BAU,I2,I,2022,624,30,5.13185,0.625057,NA, 'A': 5.306446437798201, 'B': 0.475765116069036, 'C': -0.834986033961668
Mandan,BAU,I2,I,2022,728,64,0.489313,0.781629,NA, 'A': 0.37945969689243714, 'B': 9.960193866616406, 'C': -20.01022225261749
Mandan,BAU,I3,I,2022,624,30,8.63661,0.885614,NA, 'A': 18.77173263580486, 'B': -2.2215567890070034, 'C': 0.7033783127962566
Mandan,BAU,I3,I,2022,728,64,0.748999,0.998927,0.748999, 'A': 2.6803297664668544, 'B': -5.921953538865243, 'C': 4.579510873971547
Mandan,BAU,I3,I,2022,825,92,0.582746,0.585664,NA, 'A': 0.6976436928068196, 'B': 0.37139721968792555,
Morton,ASP,A1,A,2019,613,28,9.20269,0.967755,NA, 'A': 29.153507908864025, 'B': 3.0121077769489704,
Morton,ASP,A1,A,2019,703,48,0.0876653,0.0167915,NA, 'A': 0.08358431000903724, 'B': 0.050952906256122414, 'C': 0.06486282522971061
Morton,ASP,A1,A,2019,1030,167,0.594851,0.999258,0.594851, 'A': 0.26822005635438456, 'B': 2.2019622751680714, 'C': -1.0703888676966595
Morton,ASP,A2,A,2019,613,28,11.2256,0.998136,11.2256, 'A': 46.38059731020047, 'B': -5.55858159434648, 'C': 3.177800149244445
Morton,ASP,A2,A,2019,703,48,0.114644,0.256768,NA, 'A': 0.08850167274659015, 'B': 0.5031003717648979, 'C': -0.008691969534286017
Morton,ASP,A2,A,2019,1030,167,1.02264,0.97955,1.02264, 'A': 1.0762149888445198, 'B': -2.2143817270079333, 'C': 2.9978758511453214
Morton,ASP,A3,A,2019,613,28,11.601,0.998087,11.601, 'A': 49.43475950835688, 'B': -5.6831469873632905, 'C': 3.2056120249656384
Morton,ASP,A3,A,2019,703,48,0.0809407,0.875503,NA, 'A': 0.07181997315964134, 'B': 0.29327109372179194, 'C': -0.08661302713522959
Morton,ASP,A3,A,2019,1030,167,0.970396,0.999478,0.970396, 'A': 0.3977327374006432, 'B': -1.5799828541682066,
Morton,ASP,B1,B,2019,613,28,5.7876,0.962792,NA, 'A': 11.46820153892824, 'B': 1.5687527442168463,
Morton,ASP,B1,B,2019,703,48,0.103792,0.775921,NA, 'A': 0.04940814788752762, 'B': 3.4353484298714596, 'C': -3.0160273569436358
Morton,ASP,B1,B,2019,1030,167,0.745769,0.648759,NA, 'A': 0.9557601465542139, 'B': -2.4120336461737137, 'C': 2.7856386167368603
Morton,ASP,B2,B,2019,613,28,4.87482,0.994204,4.87482, 'A': 15.442194702344077, 'B': -4.586598522904999, 'C': 2.9540429982295238
Morton,ASP,B2,B,2019,703,48,0.0396931,0.958506,NA, 'A': 0.004038152675181568, 'B': 7.675216380164523, 'C': -5.336834275551356
Morton,ASP,B2,B,2019,1030,167,0.725499,0.998713,0.725499, 'A': 0.405717637290581, 'B': 0.6482523037724596, 'C': 0.5762570213725459
Morton,ASP,B3,B,2019,613,28,9.88876,0.999564,9.88876, 'A': 57.74877017180092, 'B': -8.374866356639187, 'C': 6.016405716552208
Morton,ASP,B3,B,2019,703,48,0.0979497,0.941948,NA, 'A': 0.09325912662431735, 'B': 1.3956504263164977, 'C': -2.021816397669047
Morton,ASP,B3,B,2019,1030,167,0.768985,0.838434,NA, 'A': 0.19820249729301428, 'B': 4.7620891869181445, 'C': -3.358360195172052
Morton,ASP,C1,C,2019,613,28,11.9734,0.984337,11.9734, 'A': 55.033144242210575, 'B': 4.547586655419153,
Morton,ASP,C1,C,2019,703,48,0.0937055,0.973136,0.0937055, 'A': 0.07766070748370522, 'B': -0.46320844464968985, 'C': 1.1778184533639364
Morton,ASP,C1,C,2019,1030,167,0.709921,0.799436,NA, 'A': 0.5560682342413898, 'B': -1.0838108507548017, 'C': 2.1553984971786035
Morton,ASP,C2,C,2019,613,28,9.42634,0.993484,9.42634, 'A': 42.292972418133786, 'B': -6.122921611498518, 'C': 3.6850451178626766
Morton,ASP,C2,C,2019,703,48,0.0786001,0.876688,NA, 'A': 0.004658404417332351, 'B': 10.278711886497028, 'C': -7.8179400106158425
Morton,ASP,C2,C,2019,1030,167,0.848493,0.714656,NA, 'A': 1.6321768110110737, 'B': -5.030812463382068, 'C': 5.317316256317348
Morton,ASP,C3,C,2019,613,28,6.78677,0.999184,6.78677, 'A': 24.716398711773106, 'B': -6.166901645260617, 'C': 4.890566919137324
Morton,ASP,C3,C,2019,703,48,0.135227,0.91549,NA, 'A': 0.10085741085327729, 'B': -0.582818393773308, 'C': 1.5923468334077797
Morton,ASP,C3,C,2019,1030,167,1.13777,0.890584,NA, 'A': 0.5391361011645684, 'B': 1.3755000949578065, 'C': -0.04138814560740672
Morton,ASP,D1,D,2019,613,28,4.29023,0.935065,NA, 'A': 9.059458367538118, 'B': 1.7416066640998427,
Morton,ASP,D1,D,2019,703,48,0.110333,0.683771,NA, 'A': 0.3181403031744965, 'B': -8.893127287750724, 'C': 9.32770965823071
Morton,ASP,D1,D,2019,1030,167,0.668628,0.875827,NA, 'A': 0.4587269728583361, 'B': -0.2849885167777144, 'C': 1.3795391441524396
Morton,ASP,D2,D,2019,613,28,8.77363,0.938858,NA, 'A': 12.65477244873916, 'B': 4.6917346436497755, 'C': -11.674401043349032
Morton,ASP,D2,D,2019,703,48,0.754327,0.890628,NA, 'A': 4.120881209094741, 'B': -16.182683268589823, 'C': 16.627826756000427
Morton,ASP,D2,D,2019,1030,167,0.640467,0.91224,NA, 'A': 0.2622283422880687, 'B': 2.1473374777216945, 'C': -0.7692290615375932
Morton,ASP,D3,D,2019,613,28,9.01683,0.978617,9.01683, 'A': 57.88115265969981, 'B': -9.64474547816566, 'C': 7.604065293006201
Morton,ASP,D3,D,2019,703,48,0.219601,0.741057,NA, 'A': 0.4015627489534341, 'B': -4.237197976296697, 'C': 4.37318786243187
Morton,ASP,D3,D,2019,1030,167,0.838034,0.999129,0.838034, 'A': 0.2304191590640673, 'B': 3.950982141302102, 'C': -2.3623949767064794
Morton,ASP,E1,E,2019,613,28,12.2746,0.987491,12.2746, 'A': 49.44404193928663, 'B': 3.950659158487958,
Morton,ASP,E1,E,2019,703,48,0.06319,0.439126,NA, 'A': 0.12245778803458103, 'B': -1.9672201103578613, 'C': 0.7767518042338086
Morton,ASP,E1,E,2019,1030,167,0.805962,0.98176,0.805962, 'A': 0.16863993280083622, 'B': 4.257661106510741, 'C': -2.1837776299895504
Morton,ASP,E2,E,2019,613,28,10.0574,0.996496,10.0574, 'A': 67.39465097255896, 'B': -9.726009008210124, 'C': 7.457497806786178
Morton,ASP,E2,E,2019,703,48,0.110929,0.994439,0.110929, 'A': 0.17691761916521126, 'B': -4.184356867918645, 'C': 4.6487954919178245
Morton,ASP,E2,E,2019,1030,167,0.78019,0.27002,NA, 'A': 0.4933294763527685, 'B': 1.4311691571442726, 'C': -0.821120273772562
Morton,ASP,E3,E,2019,613,28,5.66533,0.998143,5.66533, 'A': 16.14133760908487, 'B': -3.7330626356822987, 'C': 2.0155932307673816
Morton,ASP,E3,E,2019,703,48,0.0910096,0.353644,NA, 'A': 0.04832162896872982, 'B': 3.2401832331492764, 'C': -3.0381465911104972
Morton,ASP,E3,E,2019,1030,167,0.890107,0.624855,NA, 'A': 1.7689328797647264, 'B': -5.642500355981369, 'C': 6.046111880994957
Morton,ASP,F1,F,2019,613,28,6.4485,0.960231,NA, 'A': 11.837869675655503, 'B': 1.3686443861232773,
Morton,ASP,F1,F,2019,703,48,0.235482,0.904777,NA, 'A': 0.008367331582067124, 'B': 13.722809791798756, 'C': -11.710258858743583
Morton,ASP,F1,F,2019,1030,167,0.882657,0.963356,NA, 'A': 0.3772036576647054, 'B': 2.3707534931313097, 'C': -1.179306052846772
Morton,ASP,F2,F,2019,613,28,8.96173,0.997591,8.96173, 'A': 47.9052426253178, 'B': -7.4759154354101245, 'C': 4.992584334865651
Morton,ASP,F2,F,2019,703,48,0.228744,0.811684,NA, 'A': 0.01283596982754752, 'B': 10.793000431903188, 'C': -8.439125047485362
Morton,ASP,F2,F,2019,1030,167,0.516462,0.902022,NA, 'A': 0.10563778205740343, 'B': 3.670592859490785, 'C': -1.3518145499579148
Morton,ASP,F3,F,2019,613,28,10.8198,0.999826,10.8198, 'A': 64.7060601566675, 'B': -7.837502102624192, 'C': 4.785121845738791
Morton,ASP,F3,F,2019,703,48,0.118131,0.761746,NA, 'A': 0.23838802142826432, 'B': -3.1104065206727416, 'C': 2.442826626824578
Morton,ASP,F3,F,2019,1030,167,0.942709,0.97492,0.942709, 'A': 0.24124135407297784, 'B': 4.811063457184706, 'C': -3.411255563319964
Morton,ASP,G1,G,2019,613,28,11.9274,0.98641,11.9274, 'A': 45.78120064903726, 'B': 3.747864175429535,
Morton,ASP,G1,G,2019,703,48,0.140364,0.981347,0.140364, 'A': 0.5147957482079346, 'B': -6.390830314730118, 'C': 5.210081757497473
Morton,ASP,G1,G,2019,1030,167,0.611209,0.90341,NA, 'A': 1.1784971212962139, 'B': -3.8542454663796226, 'C': 3.6880977697812054
Morton,ASP,G2,G,2019,613,28,9.64369,0.993704,9.64369, 'A': 30.40160944396832, 'B': -3.7939326315747968, 'C': 1.5725018300786018
Morton,ASP,G2,G,2019,703,48,0.388953,0.993335,0.388953, 'A': 0.16993237282641727, 'B': -9.84643695122187, 'C': 13.29847189551019
Morton,ASP,G2,G,2019,1030,167,0.676177,0.987256,0.676177, 'A': 0.10539796840376313, 'B': 6.486445698198586, 'C': -4.627895494029169
Morton,ASP,G3,G,2019,613,28,13.9758,0.995541,13.9758, 'A': 71.57954006114451, 'B': -6.688219302404478, 'C': 3.791408469423713
Morton,ASP,G3,G,2019,703,48,0.0831572,0.966704,NA, 'A': 0.698282078574552, 'B': -12.86368323272368, 'C': 11.135081570338592
Morton,ASP,G3,G,2019,1030,167,0.995655,0.487971,NA, 'A': 2.250011919707021, 'B': -4.957856016888462, 'C': 4.782866821182745
Morton,ASP,H1,H,2019,613,28,11.6469,0.994414,11.6469, 'A': 55.64084178025287, 'B': 4.735370185450383,
Morton,ASP,H1,H,2019,703,48,0.0842893,0.823767,NA, 'A': 0.660514300929895, 'B': -14.930583253047784, 'C': 14.248729891076158
Morton,ASP,H1,H,2019,1030,167,0.729599,0.980809,0.729599, 'A': 0.827434826403886, 'B': -2.3187992157567714, 'C': 2.9621469425178035
Morton,ASP,H2,H,2019,613,28,7.37597,0.999609,7.37597, 'A': 27.770122707420747, 'B': -5.177761580021554, 'C': 3.0573859347176446
Morton,ASP,H2,H,2019,703,48,0.0789048,0.420145,NA, 'A': 0.047502387143709336, 'B': -0.5170682865039427, 'C': 1.9707226763693844
Morton,ASP,H2,H,2019,1030,167,0.697633,0.959713,NA, 'A': 0.7212322264683654, 'B': -4.965588593139421, 'C': 6.5289310780890215
Morton,ASP,H3,H,2019,613,28,7.25339,0.97637,7.25339, 'A': 31.939360529026946, 'B': -7.277319494904894, 'C': 5.785814438618283
Morton,ASP,H3,H,2019,703,48,0.0676036,0.964131,NA, 'A': 0.03072583425971753, 'B': 2.880256799905795, 'C': -2.061488834503071
Morton,ASP,H3,H,2019,1030,167,1.23799,0.998054,1.23799, 'A': 0.40410056299308766, 'B': 1.9216850305395783, 'C': 0.018880203288808677
Morton,ASP,I1,I,2019,613,28,9.7156,0.985065,9.7156, 'A': 30.338316708192885, 'B': 2.9609881307052395,
Morton,ASP,I1,I,2019,703,48,0.103721,0.755661,NA, 'A': 0.055876158033048, 'B': 0.7435234062800938, 'C': 0.5307674821746633
Morton,ASP,I1,I,2019,1030,167,1.09667,0.982094,1.09667, 'A': 0.3559019812502925, 'B': 2.0107595502032205, 'C': -0.08681158422918998
Morton,ASP,I2,I,2019,613,28,13.9658,0.998592,13.9658, 'A': 78.79537262681345, 'B': -7.40430918942708, 'C': 4.4203744967627365
Morton,ASP,I2,I,2019,703,48,0.149134,0.95424,NA, 'A': 0.25036433566039373, 'B': -5.7443438735347705, 'C': 6.554820481358495
Morton,ASP,I2,I,2019,1030,167,0.942745,0.824612,NA, 'A': 0.4249135545229922, 'B': 0.06119128804934105, 'C': 1.8003137878897169
Morton,ASP,I3,I,2019,613,28,9.84979,0.995405,9.84979, 'A': 22.749431350453452, 'B': -1.3946164890309025, 'C': -1.1442144000010985
Morton,ASP,I3,I,2019,703,48,0.0244676,0.970576,0.0244676, 'A': 0.008313086053885189, 'B': 31.64179214823376, 'C': -90.40512406517088
Morton,ASP,I3,I,2019,1030,167,1.12151,0.999759,1.12151, 'A': 0.424622789322691, 'B': 2.343004423426378, 'C': -0.8616800288543063
Morton,ASP,A1,A,2020,622,31,7.68698,0.683531,NA, 'A': 10.182324864713287, 'B': -2.0419697500742644, 'C': 2.1762374701970617
Morton,ASP,A1,A,2020,730,69,3.76974,0.992454,3.76974, 'A': 53.19523016191182, 'B': -20.049884892234385, 'C': 18.407713688743144
Morton,ASP,A2,A,2020,622,31,7.09385,0.614771,NA, 'A': 7.61901007354396, 'B': 0.10505923752539417, 'C': -0.3824242594021189
Morton,ASP,A2,A,2020,730,69,2.73687,0.999989,2.73687, 'A': 22.426703795392086, 'B': -9.972582673896442, 'C': 5.889239941507538
Morton,ASP,A3,A,2020,622,31,6.32261,0.999855,6.32261, 'A': 8.902243476427364, 'B': -1.1689386581667556, 'C': 0.693300148548603
Morton,ASP,A3,A,2020,730,69,2.20313,0.948092,NA, 'A': 8.784126471583583, 'B': -4.973910970685041, 'C': 2.2983567742546254
Morton,ASP,B1,B,2020,622,31,6.55222,0.860852,NA, 'A': 4.942101953591262, 'B': 2.8506006608551333, 'C': -3.5826381485853545
Morton,ASP,B1,B,2020,730,69,0.689748,0.966609,NA, 'A': 2.6735933997029773, 'B': -4.664608608801274, 'C': 1.8882670559572632
Morton,ASP,B2,B,2020,622,31,7.82837,0.903507,NA, 'A': 11.136343016070187, 'B': -1.9554199904760485, 'C': 1.8448782922358318
Morton,ASP,B2,B,2020,730,69,1.2773,0.989103,1.2773, 'A': 6.163762641589823, 'B': -9.718416738197247, 'C': 9.011100600012924
Morton,ASP,B3,B,2020,622,31,8.24328,0.9549,NA, 'A': 7.142629016532902, 'B': 0.5667560683572106, 'C': -0.4241427269031753
Morton,ASP,B3,B,2020,730,69,2.75843,0.991432,2.75843, 'A': 11.942457140541247, 'B': -5.790749557367507, 'C': 3.301190549869509
Morton,ASP,C1,C,2020,622,31,9.15578,0.928162,NA, 'A': 8.038559629779229, 'B': 1.1655642929325067, 'C': -1.3785861161067627
Morton,ASP,C1,C,2020,730,69,1.56969,0.999445,1.56969, 'A': 15.057819772682235, 'B': -13.522168912342488, 'C': 11.309318301443456
Morton,ASP,C2,C,2020,622,31,9.03768,0.953425,NA, 'A': 8.453447261218935, 'B': 0.17738843252842956, 'C': -0.06714646804081059
Morton,ASP,C2,C,2020,730,69,1.52129,0.417218,NA, 'A': 2.9874475116290427, 'B': -2.471573853390322, 'C': 1.5445717055611783
Morton,ASP,C3,C,2020,622,31,16.9017,0.95643,NA, 'A': 0.31590369867697243, 'B': 18.26138300013571, 'C': -17.24332609065504
Morton,ASP,C3,C,2020,730,69,4.53643,0.998742,4.53643, 'A': 0.1793060344408229, 'B': 35.86346947356778, 'C': -67.47627353733118
Morton,ASP,D1,D,2020,622,31,5.59548,0.971665,5.59548, 'A': 7.505078953952172, 'B': -0.5856541744640484, 'C': -0.0530485250187863
Morton,ASP,D1,D,2020,730,69,1.65485,0.987809,1.65485, 'A': 9.455000076775086, 'B': -9.56490387585396, 'C': 8.113667207276631
Morton,ASP,D2,D,2020,622,31,5.12224,0.917358,NA, 'A': 7.550956048012844, 'B': -2.1183266720396903, 'C': 1.9768661630776228
