Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,E2,E,2019,1023,159,1.06258,0.992998,1.06258, 'A': 0.1619662270470444, 'B': 7.073249677875585, 'C': -5.421553247841754
Mandan,BAU,E3,E,2019,613,27,5.47176,0.999805,5.47176, 'A': 28.746780616575734, 'B': -6.677258814940642, 'C': 3.5485484070520927
Mandan,BAU,E3,E,2019,703,47,0.503915,0.990884,0.503915, 'A': 0.32811720648191006, 'B': 1.0005851643624744, 'C': -0.2781774172545534
Mandan,BAU,E3,E,2019,1023,159,2.21086,0.999968,2.21086, 'A': 2.683539967718136, 'B': 0.4008892590459279,
Mandan,BAU,F1,F,2019,613,27,8.85976,0.998953,8.85976, 'A': 103.90758257646972, 'B': -14.348089917301609, 'C': 10.669132891892579
Mandan,BAU,F1,F,2019,703,47,0.341465,0.881819,NA, 'A': 0.09474617192085358, 'B': 4.95116171310612, 'C': -3.817239374908461
Mandan,BAU,F1,F,2019,1023,159,0.841785,0.524964,NA, 'A': 0.7648250206865269, 'B': 1.117572879329396, 'C': -1.4150753027508014
Mandan,BAU,F2,F,2019,613,27,4.37717,0.999976,4.37717, 'A': 37.2665363041199, 'B': -11.594051841471101, 'C': 8.923821717352114
Mandan,BAU,F2,F,2019,703,47,0.276743,0.667595,NA, 'A': 0.7003054322378486, 'B': -8.85987477068941, 'C': 9.563320442723585
Mandan,BAU,F2,F,2019,1023,159,1.59018,0.542082,NA, 'A': 2.7070723495423246, 'B': -3.653979798620054, 'C': 3.759179524329031
Mandan,BAU,F3,F,2019,613,27,2.09227,0.99722,2.09227, 'A': 10.878649841424155, 'B': -7.860735783231851, 'C': 5.864082478401694
Mandan,BAU,F3,F,2019,703,47,0.216867,0.362032,NA, 'A': 0.28122781481579345, 'B': -0.24642419540172772, 'C': -0.4745566420454537
Mandan,BAU,F3,F,2019,1023,159,1.17913,0.575734,NA, 'A': 0.5008302716485638, 'B': 3.844881304647086, 'C': -3.313048593155116
Mandan,BAU,G1,G,2019,613,27,11.2263,0.99893,11.2263, 'A': 136.4379112146184, 'B': -14.948335384205091, 'C': 11.441104880991068
Mandan,BAU,G1,G,2019,703,47,0.465159,0.546313,NA, 'A': 0.7111528156459637, 'B': -3.565873195258582, 'C': 3.9201416966522173
Mandan,BAU,G1,G,2019,1023,159,1.75377,0.990058,1.75377, 'A': 8.33076236711018, 'B': -6.756695372641375, 'C': 4.477345253411729
Mandan,BAU,G2,G,2019,613,27,5.55571,0.999302,5.55571, 'A': 27.65867095293196, 'B': -5.874272788061975, 'C': 2.311044044133373
Mandan,BAU,G2,G,2019,703,47,0.593516,0.989832,0.593516, 'A': 3.992653519143914, 'B': -12.08067550992456, 'C': 11.04619253471806
Mandan,BAU,G2,G,2019,1023,159,1.73738,0.659776,NA, 'A': 3.586092806284174, 'B': 1.6790095348684544,
Mandan,BAU,G3,G,2019,613,27,10.6749,0.999821,10.6749, 'A': 80.5101584365489, 'B': -9.264303707238867, 'C': 5.353530708316276
Mandan,BAU,G3,G,2019,703,47,0.900948,0.991986,0.900948, 'A': 12.267083958491321, 'B': -18.49313775049414, 'C': 16.453020194264912
Mandan,BAU,G3,G,2019,1023,159,0.952476,0.461168,NA, 'A': 0.8115591779470251, 'B': -0.31210355296540976,
Mandan,BAU,H1,H,2019,703,47,0.412569,0.972361,0.412569, 'A': 1.7719660755098552, 'B': -12.211459251737825, 'C': 12.494195713790095
Mandan,BAU,H2,H,2019,703,47,0.234011,0.718149,NA, 'A': 0.06073857542172466, 'B': 6.363487651802571, 'C': -5.777955855837834
Mandan,BAU,H2,H,2019,1023,159,0.727383,0.903113,NA, 'A': 0.18357130823634868, 'B': -2.322745542362292,
Mandan,BAU,H3,H,2019,703,47,0.254059,0.963906,NA, 'A': 0.5259349127880549, 'B': -1.6996201823210957, 'C': 0.022335234813686152
Mandan,BAU,H3,H,2019,1023,159,1.18857,0.702446,NA, 'A': 0.8469558335600499, 'B': -0.6433450422977616,
Mandan,BAU,I1,I,2019,703,47,0.34314,0.994294,0.34314, 'A': 0.05709177589763505, 'B': 5.6842628458037145, 'C': -3.646492974604163
